Variable,RMSE,Optimal_NLV,R2,RE,RPD
adf,3.885597134131239,17,0.8485568488872621,0.4430555455109737,2.5696571422338903
adl,2.916289892355394,17,0.8590242910910166,3.9949176607608137,2.6633476334296167
cf,3.1689371629784238,26,0.8800916524446957,0.40575379807662276,2.887854385415361
cp,1.1972704594975612,43,0.9337519994366399,0.7530002889921767,3.88520207791208
dmdcell,5.3724382987101,31,0.8947392005924804,0.5426705352232424,3.0822415314573557
ndf,4.477911445251527,16,0.8911242943788922,0.2800444931364307,3.0306411003214273
