Variable,RMSE,Optimal_NLV,R2,RE,RPD
adf,3.2119402656504077,10,0.896516998478704,0.36624176347211035,3.1086046444708755
adl,2.4385165388707883,8,0.9014323703323615,3.340433614891491,3.185171664571192
cf,2.743301929929022,15,0.9101393861812702,0.3512550486464817,3.3359175610136833
cp,0.9525731441328302,18,0.9580642023993892,0.5991026063728492,4.883234117729897
dmdcell,5.094186642324037,7,0.9053602691327856,0.5145643073054583,3.2505979093694646
ndf,3.731999456957925,14,0.9243753940175866,0.23339583845890713,3.6363731094004823
