Variable,RMSE,R2,RE,RPD
adf,3.0198249196852407,0.9085260092698669,0.34433579471895565,3.3063679826195305
adl,2.4696537079815144,0.8988990993659083,3.383087271207554,3.1450133102051843
cf,2.7683260134754293,0.9084925126960448,0.35445915665498456,3.30576277456715
cp,0.9296068508777408,0.9600619485388353,0.5846583967784533,5.0038762867018125
dmdcell,4.822495123362351,0.9151860313393392,0.4871207195315506,3.4337313000600727
ndf,3.448575417719097,0.9354257400905485,0.215670757831088,3.93523145814073
