Modèle,Variable,RMSE,RE,RPD
CNN-R_v1D,adf,3.940099477767944,0.1185648554455093,2.534111761366023
CNN-R_v1D,adl,2.5841805934906006,0.2352968400802732,3.005631186444284
CNN-R_v1D,cf,2.8578288555145264,0.0992028604995222,3.2022313252083534
CNN-R_v1D,cp,1.1870243549346924,0.104192029861616,3.9187381941448014
CNN-R_v1D,dmdcell,5.119793891906738,0.0960582937424384,3.234339662706485
CNN-R_v1D,ndf,3.938442707061768,0.0747761967340493,3.4457635870253536
